full_name,H,diameter,albedo,e,a,q,i,n
   263 Dresda (A886 VB),10.24,23.952,0.198,0.0807,2.885,2.652,1.32,0.2012
   264 Libussa (A886 YA),8.28,62.969,0.187,0.135,2.799,2.421,10.42,0.2105
   265 Anna (A887 DA),11.88,22.767,0.113,0.2655,2.421,1.779,25.65,0.2616
   266 Aline (A887 KA),8.72,109.494,0.027,0.1554,2.807,2.371,13.39,0.2096
   267 Tirza (A887 KB),10.23,55.998,0.051,0.1027,2.773,2.489,6.01,0.2134
   268 Adorea (A887 LA),8.6,144.585,0.041,0.1373,3.091,2.666,2.44,0.1814
   269 Justitia (A887 SA),9.7,50.728,0.061,0.2167,2.614,2.047,5.48,0.2333
   270 Anahita (A887 TA),8.88,51.4,0.211,0.151,2.198,1.866,2.37,0.3025
   271 Penthesilea (A887 TB),9.87,65.901,0.045,0.1034,3.004,2.693,3.53,0.1893
   272 Antonia (A888 CA),10.85,26.87,0.128,0.0302,2.778,2.694,4.43,0.2128
   273 Atropos (A888 EA),10.51,29.768,0.212,0.1616,2.395,2.008,20.44,0.2659
   274 Philagoria (A888 GA),9.99,27.307,0.237,0.1151,3.048,2.697,3.69,0.1853
   275 Sapientia (A888 GB),9.03,103.0,0.049,0.1616,2.772,2.324,4.77,0.2135
   276 Adelheid (A888 HA),8.56,114.723,0.051,0.0612,3.118,2.927,21.66,0.179
   277 Elvira (A888 JA),9.86,30.422,0.196,0.0914,2.885,2.622,1.17,0.2011
   278 Paulina (A888 KA),9.38,32.773,0.247,0.135,2.754,2.382,7.83,0.2156
   279 Thule (A888 UA),8.58,126.59,0.0412,0.0439,4.27,4.082,2.33,0.1117
   280 Philia (A888 UB),10.97,45.69,0.0444,0.1118,2.942,2.613,7.44,0.1953
   281 Lucretia (A888 UC),12.04,11.036,0.226,0.1322,2.188,1.898,5.3,0.3046
   282 Clorinde (A889 BA),11.11,39.03,0.0502,0.0809,2.339,2.15,9.04,0.2755
   283 Emma (A889 CA),8.77,132.385,0.023,0.144,3.049,2.61,7.99,0.1851
   284 Amalia (A889 KA),10.3,52.95,0.0602,0.2225,2.359,1.834,8.04,0.2721
   285 Regina (A889 PA),10.93,47.156,0.05,0.2032,3.087,2.46,17.61,0.1817
